id,sku,name,key,value,confidence,evidence
phase3c-26005-application_method-67,26005,"A-TYPE 1.5 PRO ULTIMATE Solvent, Petrol ve Agresif Kimyasal Dayanımlı Basınçlı Pompa 1.8 Litre",application_method,both,high,machine+hand
phase3c-26005-rinse_required-68,26005,"A-TYPE 1.5 PRO ULTIMATE Solvent, Petrol ve Agresif Kimyasal Dayanımlı Basınçlı Pompa 1.8 Litre",rinse_required,true,high,durulayın/yıkayın
phase3c-26900.223.003-application_method-69,26900.223.003,MENZERNA P150M Hare Giderici Cila Süngeri (Sarı) - 150mm,application_method,machine,high,machine signal
phase3c-26900.223.010-skill_level-70,26900.223.010,MENZERNA Rotary ve Orbital Uyumlu Kalın Pasta Süngeri 130/150mm - Kırmızı,skill_level,pro,high,profesyonel/usta
phase3c-26900.223.010-application_method-72,26900.223.010,MENZERNA Rotary ve Orbital Uyumlu Kalın Pasta Süngeri 130/150mm - Kırmızı,application_method,machine,high,machine signal
phase3c-26900.223.011-skill_level-73,26900.223.011,MENZERNA Rotary ve Orbital Uyumlu İnce Pasta Süngeri 130/150mm - Sarı,skill_level,pro,high,profesyonel/usta
phase3c-26900.223.011-application_method-75,26900.223.011,MENZERNA Rotary ve Orbital Uyumlu İnce Pasta Süngeri 130/150mm - Sarı,application_method,machine,high,machine signal
phase3c-26900.223.012-skill_level-76,26900.223.012,MENZERNA Rotary ve Orbital Uyumlu Hare Giderici Sünger 130/150mm - Yeşil,skill_level,pro,high,profesyonel/usta
phase3c-26900.223.012-application_method-77,26900.223.012,MENZERNA Rotary ve Orbital Uyumlu Hare Giderici Sünger 130/150mm - Yeşil,application_method,machine,high,machine signal
phase3c-26900.224.010-application_method-79,26900.224.010,MENZERNA Ağır Kesim Pasta Süngeri (Kırmızı) - 150mm,application_method,machine,high,machine signal
phase3c-26900.224.011-application_method-81,26900.224.011,MENZERNA İnce Kesim Pasta Süngeri (Sarı) - 150mm,application_method,machine,high,machine signal
phase3c-26900.224.012-application_method-83,26900.224.012,MENZERNA Hare Giderici Cila Süngeri (Yeşil) - 150mm,application_method,machine,high,machine signal
phase3c-26907.099.001-skill_level-84,26907.099.001,MENZERNA Ağır Kesim Kalın Pasta Süngeri 2li Paket (Kırmızı) - 95mm,skill_level,pro,high,profesyonel/usta
phase3c-26907.099.001-application_method-86,26907.099.001,MENZERNA Ağır Kesim Kalın Pasta Süngeri 2li Paket (Kırmızı) - 95mm,application_method,machine,high,machine signal
