source,id,sku,key,after,original_group,original_sub_type,final_group,final_sub_type,reason
phase3c,phase3c-84174-application_method-313,84174,application_method,both,sprayers_bottles,trigger_sprayer,sprayers_bottles,trigger_sprayer,application_method: not applicable for sprayers_bottles/trigger_sprayer
phase3c,phase3c-84177-skill_level-315,84177,skill_level,pro,sprayers_bottles,trigger_sprayer,sprayers_bottles,trigger_sprayer,skill_level: not applicable for sprayers_bottles/trigger_sprayer
phase3c,phase3c-84177-application_method-317,84177,application_method,both,sprayers_bottles,trigger_sprayer,sprayers_bottles,trigger_sprayer,application_method: not applicable for sprayers_bottles/trigger_sprayer
phase3c,phase3c-8447-skill_level-318,8447,skill_level,pro,spare_part,trigger_head,spare_part,trigger_head,skill_level: not applicable for spare_part/trigger_head
phase3c,phase3c-8447-application_method-320,8447,application_method,both,spare_part,trigger_head,spare_part,trigger_head,application_method: not applicable for spare_part/trigger_head
phase3c,phase3c-BUR060-application_method-321,BUR060,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-DOR150F-C-application_method-322,DOR150F-C,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-DOR160F-application_method-323,DOR160F,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-GE180F-C-application_method-325,GE180F-C,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-GPRO060-application_method-326,GPRO060,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-GPRO180F-C-application_method-327,GPRO180F-C,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-GPRO200F-application_method-328,GPRO200F,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-GPRO6555-application_method-329,GPRO6555,application_method,machine,polisher_machine,mini_cordless_polisher,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-GRY180F-C-application_method-330,GRY180F-C,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-GRY200F-application_method-331,GRY200F,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-GRY6555-application_method-332,GRY6555,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-KLIN-3251BL-skill_level-333,KLIN-3251BL,skill_level,pro,storage_accessories,work_gear,storage_accessories,work_gear,skill_level: not applicable for storage_accessories/work_gear
phase3c,phase3c-KLIN-3251BL-application_method-335,KLIN-3251BL,application_method,machine,storage_accessories,work_gear,storage_accessories,work_gear,application_method: not applicable for storage_accessories/work_gear
phase3c,phase3c-KP160-22KL-application_method-336,KP160-22KL,application_method,machine,polishing_pad,wool_pad,polishing_pad,wool_pad,application_method: not applicable for polishing_pad/wool_pad
phase3c,phase3c-KP160-22L-application_method-337,KP160-22L,application_method,machine,polishing_pad,wool_pad,polishing_pad,wool_pad,application_method: not applicable for polishing_pad/wool_pad
phase3c,phase3c-NPMW6555-application_method-338,NPMW6555,application_method,machine,polishing_pad,microfiber_pad,polishing_pad,microfiber_pad,application_method: not applicable for polishing_pad/microfiber_pad
phase3c,phase3c-PPF-L500M-application_temperature_min_c-339,PPF-L500M,application_temperature_min_c,10,ppf_tools,ppf_install_solution,ppf_tools,ppf_install_solution,application_temperature_min_c: not applicable for ppf_tools/ppf_install_solution
phase3c,phase3c-PPF-L500M-application_temperature_max_c-340,PPF-L500M,application_temperature_max_c,30,ppf_tools,ppf_install_solution,ppf_tools,ppf_install_solution,application_temperature_max_c: not applicable for ppf_tools/ppf_install_solution
phase3c,phase3c-PPF-L500M-skill_level-342,PPF-L500M,skill_level,pro,ppf_tools,ppf_install_solution,ppf_tools,ppf_install_solution,skill_level: not applicable for ppf_tools/ppf_install_solution
phase3c,phase3c-PPF-L500M-application_method-343,PPF-L500M,application_method,machine,ppf_tools,ppf_install_solution,ppf_tools,ppf_install_solution,application_method: not applicable for ppf_tools/ppf_install_solution
phase3c,phase3c-PU140F-C-application_method-344,PU140F-C,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-PU150F-C-application_method-345,PU150F-C,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-Q2M-ES98M-skill_level-347,Q2M-ES98M,skill_level,pro,product_sets,experience_set,product_sets,experience_set,skill_level: not applicable for product_sets/experience_set
phase3c,phase3c-Q2M-ES98M-application_method-348,Q2M-ES98M,application_method,machine,product_sets,experience_set,product_sets,experience_set,application_method: not applicable for product_sets/experience_set
phase3c,phase3c-Q2M-KM-application_method-349,Q2M-KM,application_method,machine,storage_accessories,work_gear,storage_accessories,work_gear,application_method: not applicable for storage_accessories/work_gear
phase3c,phase3c-Q2M-P-DB300M-application_method-351,Q2M-P-DB300M,application_method,machine,sprayers_bottles,dispenser_bottle,sprayers_bottles,dispenser_bottle,application_method: not applicable for sprayers_bottles/dispenser_bottle
phase3c,phase3c-Q2M-PPFIK-application_method-354,Q2M-PPFIK,application_method,machine,ppf_tools,application_kit,ppf_tools,application_kit,application_method: not applicable for ppf_tools/application_kit
phase3c,phase3c-Q2M-PPFSL4000M-skill_level-355,Q2M-PPFSL4000M,skill_level,pro,ppf_tools,ppf_install_solution,ppf_tools,ppf_install_solution,skill_level: not applicable for ppf_tools/ppf_install_solution
phase3c,phase3c-Q2M-PPFSL4000M-application_method-357,Q2M-PPFSL4000M,application_method,both,ppf_tools,ppf_install_solution,ppf_tools,ppf_install_solution,application_method: not applicable for ppf_tools/ppf_install_solution
phase3c,phase3c-Q2M-SCOV-skill_level-358,Q2M-SCOV,skill_level,pro,storage_accessories,protective_cover,storage_accessories,protective_cover,skill_level: not applicable for storage_accessories/protective_cover
phase3c,phase3c-Q2M-SCOV-application_method-360,Q2M-SCOV,application_method,machine,storage_accessories,protective_cover,storage_accessories,protective_cover,application_method: not applicable for storage_accessories/protective_cover
phase3c,phase3c-Q2M-SCOV-indoor_use-361,Q2M-SCOV,indoor_use,True,storage_accessories,protective_cover,storage_accessories,protective_cover,indoor_use: not applicable for storage_accessories/protective_cover
phase3c,phase3c-Q2M-SWCOV-skill_level-362,Q2M-SWCOV,skill_level,pro,storage_accessories,protective_cover,storage_accessories,protective_cover,skill_level: not applicable for storage_accessories/protective_cover
phase3c,phase3c-Q2M-SWCOV-application_method-364,Q2M-SWCOV,application_method,machine,storage_accessories,protective_cover,storage_accessories,protective_cover,application_method: not applicable for storage_accessories/protective_cover
phase3c,phase3c-Q2M-SWCOV-indoor_use-365,Q2M-SWCOV,indoor_use,True,storage_accessories,protective_cover,storage_accessories,protective_cover,indoor_use: not applicable for storage_accessories/protective_cover
phase3c,phase3c-Q2M-TCYA1000M-application_method-367,Q2M-TCYA1000M,application_method,machine,tire_care,tire_cleaner,tire_care,tire_cleaner,application_method: not applicable for tire_care/tire_cleaner
phase3c,phase3c-Q2M-TEYA1000M-dwell_time_minutes-368,Q2M-TEYA1000M,dwell_time_minutes,5,tire_care,tire_gel,tire_care,tire_dressing,dwell_time_minutes: not applicable for tire_care/tire_dressing
phase3c,phase3c-Q2M-TEYA1000M-application_method-369,Q2M-TEYA1000M,application_method,machine,tire_care,tire_gel,tire_care,tire_dressing,application_method: not applicable for tire_care/tire_dressing
phase3c,phase3c-Q2M-TEYA1000M-rinse_required-370,Q2M-TEYA1000M,rinse_required,True,tire_care,tire_gel,tire_care,tire_dressing,rinse_required: not applicable for tire_care/tire_dressing
phase3c,phase3c-Q2M-WCS98M-skill_level-372,Q2M-WCS98M,skill_level,pro,product_sets,experience_set,product_sets,experience_set,skill_level: not applicable for product_sets/experience_set
phase3c,phase3c-RE180F-C-application_method-374,RE180F-C,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-RE200F-application_method-375,RE200F,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-SGGA081-skill_level-376,SGGA081,skill_level,pro,polishing_pad,felt_pad,polishing_pad,felt_pad,skill_level: not applicable for polishing_pad/felt_pad
phase3c,phase3c-SGGA081-application_method-378,SGGA081,application_method,both,polishing_pad,felt_pad,polishing_pad,felt_pad,application_method: not applicable for polishing_pad/felt_pad
phase3c,phase3c-SGGC055-application_method-379,SGGC055,application_method,machine,polisher_machine,other,accessory,tornador_gun,application_method: not applicable for accessory/tornador_gun
phase3c,phase3c-SGGC086-skill_level-380,SGGC086,skill_level,pro,polisher_machine,other,accessory,air_blow_gun,skill_level: not applicable for accessory/air_blow_gun
phase3c,phase3c-SGGC086-application_method-382,SGGC086,application_method,machine,polisher_machine,other,accessory,air_blow_gun,application_method: not applicable for accessory/air_blow_gun
phase3c,phase3c-SGGC086-indoor_use-383,SGGC086,indoor_use,True,polisher_machine,other,accessory,air_blow_gun,indoor_use: not applicable for accessory/air_blow_gun
phase3c,phase3c-SGGC091-skill_level-385,SGGC091,skill_level,pro,sprayers_bottles,foaming_pump_sprayer,sprayers_bottles,foaming_pump_sprayer,skill_level: not applicable for sprayers_bottles/foaming_pump_sprayer
phase3c,phase3c-SGGC091-application_method-386,SGGC091,application_method,machine,sprayers_bottles,foaming_pump_sprayer,sprayers_bottles,foaming_pump_sprayer,application_method: not applicable for sprayers_bottles/foaming_pump_sprayer
phase3c,phase3c-SGGC091-indoor_use-387,SGGC091,indoor_use,True,sprayers_bottles,foaming_pump_sprayer,sprayers_bottles,foaming_pump_sprayer,indoor_use: not applicable for sprayers_bottles/foaming_pump_sprayer
phase3c,phase3c-SGGD025-application_method-388,SGGD025,application_method,machine,storage_accessories,cart_trolley,storage_accessories,cart_trolley,application_method: not applicable for storage_accessories/cart_trolley
phase3c,phase3c-SGGD053-application_method-389,SGGD053,application_method,machine,spare_part,backing_plate,spare_part,backing_plate,application_method: not applicable for spare_part/backing_plate
