sku,key,value_text,value_numeric,value_boolean
MGPS-6016P,material,Mikrofiber + polimer kauçuk,,
MGPS-6009P,size,30x30 cm,,
MGPS-6009P,color,Kırmızı kenar / Siyah polimer yüzey,,
MGPS-6009P,material,Kauçuk-polimer kil kaplama + 320 gsm mikrofiber,,
MGPS-6045,size,10x6 cm,,
MGPS-6045,color,Siyah,,
MGPS-6045,material,İnce-grade polimer kil + EVA sünger,,
MGPS-6046R,size,12x8 cm,,
MGPS-6046R,color,Kırmızı,,
MGPS-6046R,material,Kauçuk-polimer kil + EVA sünger,,
MGPS-6046F2R,size,12x8 cm,,
MGPS-6046F2R,quantity,2 adet,,
MGPS-6046F2R,color,Kırmızı,,
MGPS-6046F2R,material,Kauçuk-polimer kil,,
Q2M-CME,size,100 gr,,
Q2M-CME,color,Açık (kirlilik takibi için),,
MGPS-6031B-P,material,İnce-grade kauçuk-polimer kil + 320 GSM mikrofiber,,
EF0101,scent,Vanilya,,
EF0101,durability_label,45 Gün,,
EF0101,design,3D Karakter,,
EF0101,durability_days,,45,
EF0101,dimensions_mm,85x45x26,,
EF0101,weight_g,,12,
EF0101,alcohol_free,,,true
EF0101,toxic_free,,,true
EF0101,made_in,İtalya,,
EF0202,scent,New Car,,
EF0202,durability_label,45 Gün,,
EF0202,durability_days,,45,
EF0202,design,3D Karakter,,
EF0202,dimensions_mm,85x45x26,,
EF0202,weight_g,,12,
EF0202,alcohol_free,,,true
EF0202,toxic_free,,,true
EF0202,made_in,İtalya,,
EF0303,scent,Passion/Meyve,,
EF0303,durability_label,45 Gün,,
EF0303,durability_days,,45,
EF0303,design,3D Karakter,,
EF0303,dimensions_mm,85x45x26,,
EF0303,weight_g,,12,
EF0303,alcohol_free,,,true
EF0303,toxic_free,,,true
EF0303,made_in,İtalya,,
IF0404,scent,Kiraz,,
IF0404,durability_label,45 Gün,,
IF0404,durability_days,,45,
IF0404,design,3D Karakter,,
IF0404,dimensions_mm,85x45x26,,
IF0404,weight_g,,12,
IF0404,alcohol_free,,,true
IF0404,toxic_free,,,true
IF0404,made_in,İtalya,,
EF0606,scent,Black Velvet,,
EF0606,durability_label,45 Gün,,
EF0606,durability_days,,45,
EF0606,design,3D Karakter,,
EF0606,dimensions_mm,85x45x26,,
EF0606,weight_g,,12,
EF0606,alcohol_free,,,true
EF0606,toxic_free,,,true
EF0606,made_in,İtalya,,
EF0808,scent,Nane,,
EF0808,durability_label,45 Gün,,
EF0808,durability_days,,45,
EF0808,design,3D Karakter,,
EF0808,dimensions_mm,85x45x26,,
EF0808,weight_g,,12,
EF0808,alcohol_free,,,true
EF0808,toxic_free,,,true
EF0808,made_in,İtalya,,
IF0909,scent,Meyve Karışımı,,
IF0909,durability_label,45 Gün,,
IF0909,durability_days,,45,
IF0909,design,3D Karakter,,
IF0909,dimensions_mm,85x45x26,,
IF0909,weight_g,,12,
IF0909,alcohol_free,,,true
IF0909,toxic_free,,,true
IF0909,made_in,İtalya,,
IF1111,scent,Çilek,,
IF1111,durability_label,45 Gün,,
IF1111,durability_days,,45,
IF1111,design,3D Karakter,,
IF1111,dimensions_mm,85x45x26,,
IF1111,weight_g,,12,
IF1111,alcohol_free,,,true
IF1111,toxic_free,,,true
IF1111,made_in,İtalya,,
EF1212,scent,Amber,,
EF1212,durability_label,45 Gün,,
EF1212,durability_days,,45,
EF1212,design,3D Karakter,,
EF1212,dimensions_mm,85x45x26,,
EF1212,weight_g,,12,
EF1212,alcohol_free,,,true
EF1212,toxic_free,,,true
EF1212,made_in,İtalya,,
EF1313,scent,Çiçek,,
EF1313,durability_label,45 Gün,,
EF1313,durability_days,,45,
EF1313,design,3D Karakter,,
EF1313,dimensions_mm,85x45x26,,
EF1313,weight_g,,12,
EF1313,alcohol_free,,,true
EF1313,toxic_free,,,true
EF1313,made_in,İtalya,,
IF1414,scent,Pina Colada,,
IF1414,durability_label,45 Gün,,
IF1414,durability_days,,45,
IF1414,dimensions_mm,85x45x26,,
IF1414,weight_g,,12,
IF1414,alcohol_free,,,true
IF1414,toxic_free,,,true
IF1414,made_in,İtalya,,
EF1616,scent,Kaşmir,,
EF1616,durability_label,45 Gün,,
EF1616,durability_days,,45,
EF1616,dimensions_mm,85x45x26,,
EF1616,weight_g,,12,
EF1616,alcohol_free,,,true
EF1616,toxic_free,,,true
EF1616,made_in,İtalya,,
EF1717,scent,Zencefil Limon,,
EF1717,durability_label,45 Gün,,
EF1717,durability_days,,45,
EF1717,dimensions_mm,85x45x26,,
EF1717,weight_g,,12,
EF1717,alcohol_free,,,true
EF1717,toxic_free,,,true
EF1717,made_in,İtalya,,
EF1818,scent,Misk,,
EF1818,durability_label,45 Gün,,
EF1818,durability_days,,45,
EF1818,dimensions_mm,85x45x26,,
EF1818,weight_g,,12,
EF1818,alcohol_free,,,true
EF1818,toxic_free,,,true
EF1818,made_in,İtalya,,
EF1919,scent,Sedir Ağacı,,
EF1919,durability_label,45 Gün,,
EF1919,durability_days,,45,
EF1919,dimensions_mm,85x45x26,,
EF1919,weight_g,,12,
EF1919,alcohol_free,,,true
EF1919,toxic_free,,,true
EF1919,made_in,İtalya,,
EF0220,scent,Şeker,,
EF0220,durability_label,45 Gün,,
EF0220,durability_days,,45,
EF0220,dimensions_mm,85x45x26,,
EF0220,weight_g,,12,
EF0220,alcohol_free,,,true
EF0220,toxic_free,,,true
EF0220,made_in,İtalya,,
IF2939,scent,Sakız,,
IF2939,durability_label,45 Gün,,
IF2939,durability_days,,45,
IF2939,dimensions_mm,85x45x26,,
IF2939,weight_g,,12,
IF2939,alcohol_free,,,true
IF2939,toxic_free,,,true
IF2939,made_in,İtalya,,
IF3243,scent,Elma,,
IF3243,durability_label,45 Gün,,
IF3243,durability_days,,45,
IF3243,dimensions_mm,85x45x26,,
IF3243,weight_g,,12,
IF3243,alcohol_free,,,true
IF3243,toxic_free,,,true
IF3243,made_in,İtalya,,
EF3963,scent,Kahve,,
EF3963,durability_label,45 Gün,,
EF3963,durability_days,,45,
EF3963,dimensions_mm,85x45x26,,
EF3963,weight_g,,12,
EF3963,alcohol_free,,,true
EF3963,toxic_free,,,true
EF3963,made_in,İtalya,,
EF4064,scent,Deri,,
EF4064,durability_label,45 Gün,,
EF4064,durability_days,,45,
EF4064,dimensions_mm,85x45x26,,
EF4064,weight_g,,12,
EF4064,alcohol_free,,,true
EF4064,toxic_free,,,true
EF4064,made_in,İtalya,,
EF1754,scent,Nane Mentol,,
EF1754,durability_label,45 Gün,,
EF1754,durability_days,,45,
EF1754,dimensions_mm,85x145x26,,
EF1754,weight_g,,12,
EF1754,alcohol_free,,,true
EF1754,toxic_free,,,true
EF1754,made_in,İtalya,,
EF1754,collection,Winter Edition,,
EF1655,scent,Meyve Çiçek,,
EF1655,durability_label,45 Gün,,
EF1655,durability_days,,45,
EF1655,dimensions_mm,85x145x26,,
EF1655,weight_g,,12,
EF1655,alcohol_free,,,true
EF1655,toxic_free,,,true
EF1655,made_in,İtalya,,
EF1655,design,Altın tonları,,
IF0453,scent,Elma Tarçın,,
IF0453,durability_label,45 Gün,,
IF0453,durability_days,,45,
IF0453,dimensions_mm,85x145x26,,
IF0453,weight_g,,12,
IF0453,alcohol_free,,,true
IF0453,toxic_free,,,true
IF0453,made_in,İtalya,,
IF0453,collection,Winter Edition,,
SJ0402,scent,New Car,,
SJ0402,design,Futbolcu Karakter,,
SJ0402,durability_days,,45,
SJ0402,dimensions_mm,85x145x26,,
SJ0402,weight_g,,12,
SJ0402,alcohol_free,,,true
SJ0402,toxic_free,,,true
SJ0402,made_in,İtalya,,
SJ0402,collection,Soccer Edition,,
LO2602,scent,New Car,,
LO2602,design,Türkiye Temalı,,
LO2602,durability_days,,45,
LO2602,alcohol_free,,,true
LO2602,toxic_free,,,true
LO2602,made_in,İtalya,,
LO2601,scent,Vanilya,,
LO2601,design,Kalp Temalı,,
LO2601,durability_days,,45,
LO2601,dimensions_mm,85x145x26,,
LO2601,weight_g,,12,
LO2601,alcohol_free,,,true
LO2601,toxic_free,,,true
LO2601,made_in,İtalya,,
LE3739,scent,Ahududu,,
LE3739,quantity,,2,
LE3739,durability_days,,45,
LE3739,dimensions_mm,165x94x25,,
LE3739,weight_g,,39,
LE3739,alcohol_free,,,true
LE3739,toxic_free,,,true
LE3739,made_in,İtalya,,
LE3739,collection,Love Edition,,
LE3801,scent,Vanilya,,
LE3801,quantity,,2,
LE3801,durability_days,,45,
LE3801,dimensions_mm,165x94x25,,
LE3801,weight_g,,39,
LE3801,alcohol_free,,,true
LE3801,toxic_free,,,true
LE3801,made_in,İtalya,,
LE3801,collection,Love Edition,,
LE3620,scent,Şekerli Meyve,,
LE3620,quantity,,2,
LE3620,durability_days,,45,
LE3620,alcohol_free,,,true
LE3620,toxic_free,,,true
LE3620,made_in,İtalya,,
LE3620,collection,Love Edition,,
ED0101,scent,Vanilya,,
ED0101,design,3D Köpek,,
ED0101,durability_days,,45,
ED0101,dimensions_mm,85x45x26,,
ED0101,weight_g,,13,
ED0101,alcohol_free,,,true
ED0101,toxic_free,,,true
ED0101,made_in,İtalya,,
ED0101,collection,Little Dog,,
ED0202,scent,New Car,,
ED0202,design,3D Köpek,,
ED0202,durability_days,,45,
ED0202,dimensions_mm,85x45x26,,
ED0202,weight_g,,13,
ED0202,alcohol_free,,,true
ED0202,toxic_free,,,true
ED0202,made_in,İtalya,,
ED0202,collection,Little Dog,,
ED0303,scent,Passion,,
ED0303,design,3D Köpek,,
ED0303,durability_days,,45,
ED0303,dimensions_mm,85x45x26,,
ED0303,weight_g,,13,
ED0303,alcohol_free,,,true
ED0303,toxic_free,,,true
ED0303,made_in,İtalya,,
ED0303,collection,Little Dog,,
ID0404,scent,Kiraz,,
ID0404,design,3D Köpek,,
ID0404,durability_days,,45,
ID0404,dimensions_mm,85x45x26,,
ID0404,weight_g,,13,
ID0404,alcohol_free,,,true
ID0404,toxic_free,,,true
ID0404,made_in,İtalya,,
ID0404,collection,Little Dog,,
ED0606,scent,Black Velvet,,
ED0606,design,3D Köpek,,
ED0606,durability_days,,45,
ED0606,dimensions_mm,85x45x26,,
ED0606,weight_g,,13,
ED0606,alcohol_free,,,true
ED0606,toxic_free,,,true
ED0606,made_in,İtalya,,
ED0606,collection,Little Dog,,
ID0909,scent,Meyve,,
ID0909,design,3D Köpek,,
ID0909,durability_days,,45,
ID0909,dimensions_mm,85x45x26,,
ID0909,weight_g,,13,
ID0909,alcohol_free,,,true
ID0909,toxic_free,,,true
ID0909,made_in,İtalya,,
ID0909,collection,Little Dog,,
IY1401,scent,Vanilya,,
IY1401,design,3D Joya,,
IY1401,durability_days,,45,
IY1401,dimensions_mm,85x45x26,,
IY1401,weight_g,,9.7,
IY1401,alcohol_free,,,true
IY1401,toxic_free,,,true
IY1401,made_in,İtalya,,
IY1401,collection,Little Joya,,
EY0202,scent,New Car,,
EY0202,design,3D Joya,,
EY0202,durability_days,,45,
EY0202,dimensions_mm,85x45x26,,
EY0202,weight_g,,9.7,
EY0202,alcohol_free,,,true
EY0202,toxic_free,,,true
EY0202,made_in,İtalya,,
EY0202,collection,Little Joya,,
EY1213,scent,Bahar Çiçekleri,,
EY1213,design,3D Joya,,
EY1213,durability_days,,45,
EY1213,dimensions_mm,85x45x26,,
EY1213,weight_g,,9.7,
EY1213,alcohol_free,,,true
EY1213,toxic_free,,,true
EY1213,made_in,İtalya,,
EY1213,collection,Little Joya,,
EY3311,scent,Pamuk Şeker,,
EY3311,design,3D Joya,,
EY3311,durability_days,,45,
EY3311,dimensions_mm,85x45x26,,
EY3311,weight_g,,9.7,
EY3311,alcohol_free,,,true
EY3311,toxic_free,,,true
EY3311,made_in,İtalya,,
EY3311,collection,Little Joya,,
IY2939,scent,Yaban Mersini,,
IY2939,design,3D Joya,,
IY2939,durability_days,,45,
IY2939,dimensions_mm,85x45x26,,
IY2939,weight_g,,9.7,
IY2939,alcohol_free,,,true
IY2939,toxic_free,,,true
IY2939,made_in,İtalya,,
IY2939,collection,Little Joya,,
EY2409,scent,Lavanta,,
EY2409,design,3D Joya,,
EY2409,durability_days,,45,
EY2409,dimensions_mm,85x45x26,,
EY2409,weight_g,,9.7,
EY2409,alcohol_free,,,true
EY2409,toxic_free,,,true
EY2409,made_in,İtalya,,
EY2409,collection,Little Joya,,
EP0101,scent,Vanilya,,
EP0101,design,3D Yavru Köpek,,
EP0101,durability_days,,45,
EP0101,dimensions_mm,85x45x26,,
EP0101,weight_g,,13,
EP0101,alcohol_free,,,true
EP0101,toxic_free,,,true
EP0101,made_in,İtalya,,
EP0101,collection,Little Pup,,
EP0309,scent,Tatlı,,
EP0309,design,3D Yavru Köpek,,
EP0309,durability_days,,45,
EP0309,dimensions_mm,85x45x26,,
EP0309,weight_g,,13,
EP0309,alcohol_free,,,true
EP0309,toxic_free,,,true
EP0309,made_in,İtalya,,
EP0309,collection,Little Pup,,
EP2754,scent,Nane,,
EP2754,design,3D Yavru Köpek,,
EP2754,durability_days,,45,
EP2754,dimensions_mm,85x45x26,,
EP2754,weight_g,,13,
EP2754,alcohol_free,,,true
EP2754,toxic_free,,,true
EP2754,made_in,İtalya,,
EP2754,collection,Little Pup,,
EP2455,scent,İncir Ağacı,,
EP2455,design,3D Yavru Köpek,,
EP2455,durability_days,,45,
EP2455,dimensions_mm,85x45x26,,
EP2455,weight_g,,13,
EP2455,alcohol_free,,,true
EP2455,toxic_free,,,true
EP2455,made_in,İtalya,,
EP2455,collection,Little Pup,,
